Orador,Texto
"roa, giovanna", tiene la palabra la conversión al yoga muchas gracias hoy en este pleno tenemos la oportunidad de instalar una perspectiva feminista que permite todo el proceso constituyente y que se construya desde nuestra diversidad esa diversidad que es riqueza y que nos invita a reflexionar un nuevo chile donde los cuidados están en el centro donde los derechos de las mujeres y disidencias están garantizados donde vemos voz y protagonismo a todo grupo históricamente vulnerado podemos avanzar en hacer de los enfoques excluidos de la política tradicional y los pilares sobre los que se construye una nueva institucionalidad por eso esta propuesta de transversalización se refiere a los enfoques de derechos humanos género inclusión plurinacionalidad socio ecológico y descentralización permite que las comisiones puedan dialogar permanentemente para evitar tratamientos diferenciados y que lleguemos al momento de armonización con propuestas incompatibles y no lleguemos con propuestas incompatibles de duplicados esperamos este mecanismo nos permita avanzar sustantivamente en una constitución feminista ecológica democrática y de derechos asumiendo un rol colectivo entre todos y todas para darle a este proceso en esa dirección por eso un diseño rotativo que busca cumplir una función integradora y que permita que todos y todas nos veamos implicados y permeados por estas discusiones y reflexiones hoy es un día especial para nosotras las feministas celebramos la votación en general de la aprobación de la huerto una victoria que para todas a lo largo del territorio llevamos años movilizadas por nuestros derechos sexuales y reproductivos los años de luchas feministas que nos anteceden y en las que somos parte las voces excluidas de los territorios los desafíos del siglo 21 como la emergencia climática nos llaman a construir en conjunto vamos adelante por esta programación al inclusiva ya se han realizado muchas gracias muchas gracias convencional roa corresponde someter a votación la indicación número 310 han emitido su voto las señoras y señores convencionales han emitido su voto señoras y señores convencionales finalizada la votación [Música] el resultado de la votación
"bassa, jaime", bueno primer lugar quisiera quisiéramos agradecer en nombre de la mesa la deliberación y la discusión que se ha dado siguiendo siempre ha sido el mejor tono entendemos que es importante que el pleno de lidere y conversé en torno a las decisiones que toma simplemente es un secretario quisiera despejar dos dudas para que el az y los constituyentes puedan emitir su voto con nada con toda la información y también para contestar un par de preguntas que han surgido durante la durante las intervenciones en primer lugar es importante señalar que la propuesta ha sido presentada como un todo por lo tanto se vota como un todo la mesa ha entendido durante este proceso de generación de normas jurídicas que las indicaciones que han sido presentadas de determinada manera no van a ser sometidas a votación por separado y eso aplica para las indicaciones que se han presentado a los reglamentos como también es como también en esta oportunidad y en segundo lugar quisiera transmitirles la más absoluta certeza de la más absoluta garantía de que esto no significa recursos adicionales en la ejecución presupuestaria de 2021 el suplemento presupuestario que pidió la constituyente ya está tramitado y nos vamos a mover dentro de esos recursos porque hay recursos que no se van a ejecutar hay ahorros contemplados en distintas partidas en la 21 principalmente por lo tanto no hay este este esta reforma que se está proponiendo no significa un mayor gasto porque la solicitud de suplemento presupuestario para poder terminar 2021 ya fue tramitada por la constituyente que fue presentada por lo tanto aprobar esto en este momento no significa gastar más de lo que ya hemos solicitado sino que significa gastarlo de otra manera eso es todo subsecretario muchas gracias muy bien ha finalizado el tiempo de una hora destinado al debate de este asunto y corresponde someter a votación a una única votación la propuesta de modificación del reglamento por lo tanto se va a proceder a abrir en este momento la votación lo que se pone en votación es la propuesta de modificación del reglamento que establece y distribuye las asignaciones de las y los convencionales
"oyarzún, maría josé", si usted va hacer uso de la palabra así es muy bien tiene la palabra hasta por dos minutos convencionales maria jose boyer son muchas gracias buenos días a todos ya todas presentamos esta indicación que complementa la que presentamos en el artículo anterior para establecer que lo que se debe someter a votación del pleno son las normas constitucionales no el informe completo que emana de las comisiones el informe de tener por objeto ilustrar respecto del modo en que se produjo la deliberación pero no de su redacción pero de su redacción no puedo depender el avance o no de las normas constitucionales esta indicación hace aplicación del mismo razonamiento ahora en relación a lo que se aprueba por la comisión y que es llevado al pleno invitamos a todos y todas ya todos los sectores a probarla para tener un reglamento que permita una tramitación más fluida y lograr así de forma más oportuna nuestro cometido
"bassa, jaime", señor baja muchas gracias a señor secretario con su permiso también presidenta quisiera explicar esta última indicación con la cual se cierra el debate constituyente verdad en torno a nuestro reglamento general creo que ha sido una gran jornada de ir a mostrar todas muy orgullosas y orgullosos de llegar hasta acá la indicación 343 tiene x la indicación ciento 343 tiene por finalidad darle la competencia de la mesa para regular ordenar y sistematizar los distintos reglamentos que se vayan a aprobar y aquí creo que importante hacer dos distinciones dos precisiones más bien primero esta indicación no altera el proceso de entrada en vigencia y las normas aprobadas y en segundo lugar ya ha sido eliminada la distinción entre mesa directiva y mesa ampliada razón por la cual aquella referencia tendrá que ser una de esas a corregir en este en esta instancia administrativa eso es todo por mi parte y también presidenta y de nuevo manifestar mi satisfacción por el trabajo que ha hecho esta asamblea de
"serey, mariela", muy buenas tardes la indicación presentada busca incorporar un nuevo numeral al artículo 18 el que define las funciones de la comisión de participación popular con este nuevo numeral buscamos que los y las constituyentes que conforman la comisión de participación tengan la responsabilidad conjunta de asegurar el trabajo coordinado entre la secretaría técnica de participación y la secretaría de comunicaciones información y transparencia esto con el fin de que ambos organismos técnicos trabajen de manera colaborativa en el cumplimiento de sus objetivos puesto que ambas tendrán la relevante función de informar educar y favorecer la participación de las comunidades al proceso constituyente sabemos que los recursos que tenemos son pocos por ello no podemos generar dobles esfuerzos o duplicar funciones y tareas debemos ser lo más eficientes posibles para que el proceso constituyente constituyente logre llegar a todas todos y todas con especial énfasis llegar a los grupos históricamente excluidos el trabajo de cooperación y coordinación será fundamental para lograr el éxito de nuestras tareas por lo que les invitamos a probar la indicación 138 muchas gracias
"serey, mariela", pereira muy buenos días la indicación 132 tiene por objetivo mejorar y simplificar el número el numeral 2 del artículo 24 relacionada a las funciones de la secretaria técnica de participación esta indicación busca que el numeral describa de mejor manera la responsabilidad que tiene la secretaria respecto del diseño y la implementación de cada uno de los mecanismos de participación enfatizando en que todos los mecanismos deberán contar con adecuaciones para asegurar la accesibilidad universal logrando con ello la participación efectiva de toda la población especialmente de los grupos históricamente excluidos buscamos por tanto fortalecer la participación de todas las personas especialmente como les decía a los grupos históricamente excluidos como en el caso de la colectividad de las mujeres cuidadoras de personas dependientes de las personas con discapacidad niños niñas y jóvenes entre otras buscamos con esta indicación pasar de la promoción de la participación al aseguramiento de la participación efectiva la convención constitucional no puede quedarse en intentos debe garantizar a las poblaciones excluidas que éstas pueden participar en igualdad de condiciones porque ya los mínimos ya no bastan esta indicación además busca mejorar el numeral propone eliminar la tarea de trazabilidad la cual está detallada y mejor descrita en el numeral 7 del mismo artículo así evitamos duplicaciones de acciones además se quitan la descripción de algunos grupos excluidos los cuales están descritos en su totalidad en el artículo 69 así que los invito a todas ya todos a votar a favor de esta indicación muchas gracias
"serey, mariela", aprobada la indicación 218 fue retirada por la convencional elisa giustiniano beach pasamos a la indicación número 219 que ha sido presentada por el colectivo socialista frente amplio e independientes no neutrales se ofrece la palabra a la convencional mar y la sede y respecto a esta indicación 219 muchas gracias le saludo nuevamente y la indicación 219 que les presento ahora busca que la secretaria de participación popular tenga como función el trabajar coordinadamente con la secretaría de comunicaciones esto pues la secretaria de participación será la responsable del diseño e implementación de las actividades de participación y educación popular no obstante tendrá que solicitar apoyo y contar con el asesoramiento y colaboración de los profesionales expertos en comunicación que trabajarán en la secretaría de comunicación e
"delgado, aurora", si bien en general hemos consensuado y respaldado la pertinencia de la iniciativa popular de norma es necesario llamar su atención con respecto a alguna comisión es importante que podríamos enmendar con la indicación que llamó a aprobar por un lado ha sido de gran consenso el así los jóvenes de chile han jugado un rol preponderante en abrir el proceso que hoy vivimos y por ello tenemos la responsabilidad de eliminar todas las barreras que hoy restringen la participación de quienes han sido protagonistas de esta historia al indicar específicamente que jóvenes mayores de 6 de 16 años podrán apoyar con su firma una iniciativa popular de norma contribuimos sin lugar a dudas a eliminar estas barreras por otro lado con respecto al modo de cómo se van a recolectar las firmas esta indicación amplia el marco de posibilidades por parte de la secretaría técnica para cumplir con este cometido entendiendo que el articulado original no depende exclusivamente de las facultades de esta convención muchas gracias muchas gracias convencional aurora delgado corresponde someter a votación la indicación número 278 en votación
"delgado, aurora", gracias el espíritu que sustenta el mecanismo de los encuentros autoconvocados viene a reconocer la trayectora trayectoria de diálogo y construcción de los territorios que por sus propias dinámicas han llevado a la organización de grupos humanos en este proceso constituyente la indicación que llama aprobar se centra en una mejora en la redacción que permite relevar la responsabilidad de la convención para con estas instancias circunscribiendo sus responsabilidades a la difusión de información pertinente recepción de propuestas y facilitación del proceso al tiempo que reconoce la autonomía de quienes han optado por formas de diálogo propias sin son regular su funcionamiento muchas gracias
"urrutia, tatiana", pero invitamos a ir a probar esta indicación porque en la a-382 está mejor definida a la semana territorio
"urrutia, tatiana", gracias el gran desafío que tenemos ante nosotras en la redacción de una nueva constitución esto que parece tan obvio necesita alguna explicación las constituciones no vienen de la nada y van siempre hacia alguna parte en el caso chileno el momento constituyente ya se incubaba en las movilizaciones estudiantiles del 2016 y luego el 2011 con un país completo exigiendo educación pública gratuita y de calidad se gestaba las movilizaciones por no más de fp desde el 2016 la demanda de paridad la vivimos todos los 8 de marzo con más fuerza cada año la nueva constitución viene del pueblo y el pueblo tiene que volver una constitución no solo una norma jurídica no sólo orden a los poderes del estado garantiza derechos y crear instituciones fundamentales eso ya la cia de la constitución del 80 y por algo le estamos reemplazando porque eso no es suficiente una constitución es también un pacto social un pacto de todas y todos quienes vivimos en chile podríamos decir entonces que una constitución sólo es una constitución si es nuestra si todas las personas que habitan está la gracia larga franja de tierra la reconocen como una norma que es suya eso no se logra sólo con una constitución bonita o técnicamente perfecta se logra también y venir a la convención hacia los territorios y viceversa es relevante que cada persona que quiera participar tenga la posibilidad de hacerlo incidir en el debate por eso hoy discutimos un reglamento completo de participación y en particular una semana territorial que permita llevar la convención a los barrios y que luego podamos traer de vuelta a los anhelos sueños y esperanzas de esta sala
